#(
bpi: #(
1-Jan-2017 997.6888
2-Jan-2017 1018.05
3-Jan-2017 1030.8175
4-Jan-2017 1129.87
5-Jan-2017 1005.815
6-Jan-2017 895.67
7-Jan-2017 905.17
8-Jan-2017 913.5238
9-Jan-2017 899.35
10-Jan-2017 904.7925
11-Jan-2017 775.9813
12-Jan-2017 802.8288
13-Jan-2017 826.1213
14-Jan-2017 818.6388
15-Jan-2017 822.4225
16-Jan-2017 830.2638
17-Jan-2017 904.4538
18-Jan-2017 884.2513
19-Jan-2017 898.0213
20-Jan-2017 891.6238
21-Jan-2017 920.0113
22-Jan-2017 925.3313
23-Jan-2017 912.6875
24-Jan-2017 885.6475
25-Jan-2017 894.11
26-Jan-2017 915.1
27-Jan-2017 918.5625
28-Jan-2017 920.28
29-Jan-2017 914.0438
30-Jan-2017 920.2413
31-Jan-2017 967.6675
1-Feb-2017 987.3463
2-Feb-2017 1007.795
3-Feb-2017 1018.1113
4-Feb-2017 1033.6525
5-Feb-2017 1013.9938
6-Feb-2017 1024.6125
7-Feb-2017 1052.5388
8-Feb-2017 1054.3438
9-Feb-2017 988.9475
10-Feb-2017 993.0788
11-Feb-2017 1010.0025
12-Feb-2017 999.5125
13-Feb-2017 996.8575
14-Feb-2017 1009.2513
15-Feb-2017 1009.1163
16-Feb-2017 1034.0825
17-Feb-2017 1053.1225
18-Feb-2017 1058.4063
19-Feb-2017 1052.8175
20-Feb-2017 1083.2413
21-Feb-2017 1123.6563
22-Feb-2017 1122.195
23-Feb-2017 1178.384
24-Feb-2017 1180.918
25-Feb-2017 1151.581
26-Feb-2017 1179.968
27-Feb-2017 1194.278
28-Feb-2017 1190.888
1-Mar-2017 1230.016
2-Mar-2017 1260.924
3-Mar-2017 1290.786
4-Mar-2017 1267.68
5-Mar-2017 1277.685
6-Mar-2017 1280.868
7-Mar-2017 1232.431
8-Mar-2017 1150.481
9-Mar-2017 1191.815
10-Mar-2017 1117.025
11-Mar-2017 1181.645
12-Mar-2017 1229.505
13-Mar-2017 1243.242
14-Mar-2017 1246.309
15-Mar-2017 1259.601
16-Mar-2017 1172.909
17-Mar-2017 1070.128
18-Mar-2017 970.598
19-Mar-2017 1017.8
20-Mar-2017 1041.343
21-Mar-2017 1115.039
22-Mar-2017 1037.44
23-Mar-2017 1029.95
24-Mar-2017 935.946
25-Mar-2017 964.692
26-Mar-2017 965.229
27-Mar-2017 1040.491
28-Mar-2017 1044.251
29-Mar-2017 1040.392
30-Mar-2017 1037.527
31-Mar-2017 1079.748
1-Apr-2017 1089.511
2-Apr-2017 1098.776
3-Apr-2017 1147.631
4-Apr-2017 1143.746
5-Apr-2017 1134.998
6-Apr-2017 1190.597
7-Apr-2017 1193.019
8-Apr-2017 1184.824
9-Apr-2017 1210.055
10-Apr-2017 1213.339
11-Apr-2017 1224.767
12-Apr-2017 1216.505
13-Apr-2017 1178.533
14-Apr-2017 1183.44
15-Apr-2017 1180.699
16-Apr-2017 1184.787
17-Apr-2017 1203.731
18-Apr-2017 1217.596
19-Apr-2017 1226.939
20-Apr-2017 1255.403
21-Apr-2017 1257.135
22-Apr-2017 1244.375
23-Apr-2017 1248.2175
24-Apr-2017 1248.325
25-Apr-2017 1263.545
26-Apr-2017 1284.845
27-Apr-2017 1329.19
28-Apr-2017 1320.0513
29-Apr-2017 1327.0388
30-Apr-2017 1347.9588
1-May-2017 1402.0838
2-May-2017 1443.6825
3-May-2017 1491.9988
4-May-2017 1515.6288
5-May-2017 1512.2088
6-May-2017 1548.2863
7-May-2017 1555.4713
8-May-2017 1639.3225
9-May-2017 1706.9313
10-May-2017 1756.8025
11-May-2017 1807.3725
12-May-2017 1676.9938
13-May-2017 1759.9613
14-May-2017 1772.4163
15-May-2017 1697.3788
16-May-2017 1718.2013
17-May-2017 1802.1638
18-May-2017 1887.3263
19-May-2017 1968.1025
20-May-2017 2051.735
21-May-2017 2055.6175
22-May-2017 2139.0275
23-May-2017 2291.4775
24-May-2017 2476.2963
25-May-2017 2357.5038
26-May-2017 2247.4825
27-May-2017 2106.3075
28-May-2017 2207.5775
29-May-2017 2289.87
30-May-2017 2197.2338
31-May-2017 2330.2338
1-Jun-2017 2452.1813
2-Jun-2017 2517.4088
3-Jun-2017 2555.6538
4-Jun-2017 2552.8088
5-Jun-2017 2736.595
6-Jun-2017 2914.0825
7-Jun-2017 2694.2188
8-Jun-2017 2825.0313
9-Jun-2017 2826.7
10-Jun-2017 2942.345
11-Jun-2017 3018.545
12-Jun-2017 2682.595
13-Jun-2017 2738.9313
14-Jun-2017 2494.485
15-Jun-2017 2456.9238
16-Jun-2017 2528.1025
17-Jun-2017 2663.9975
18-Jun-2017 2576.1713
19-Jun-2017 2641.665
20-Jun-2017 2778.8275
21-Jun-2017 2712.1575
22-Jun-2017 2740.79
23-Jun-2017 2738.225
24-Jun-2017 2619.1188
25-Jun-2017 2594.4538
26-Jun-2017 2485.3588
27-Jun-2017 2593.17
28-Jun-2017 2584.5638
29-Jun-2017 2561.5613
30-Jun-2017 2499.9838
1-Jul-2017 2460.2
2-Jul-2017 2529.7838
3-Jul-2017 2581.0663
4-Jul-2017 2625.0713
5-Jul-2017 2629.2725
6-Jul-2017 2619.1125
7-Jul-2017 2521.2363
8-Jul-2017 2579.9338
9-Jul-2017 2525.675
10-Jul-2017 2371.96
11-Jul-2017 2332.1875
12-Jul-2017 2423.16
13-Jul-2017 2364.5163
14-Jul-2017 2232.655
15-Jul-2017 1993.2588
16-Jul-2017 1938.9425
17-Jul-2017 2244.265
18-Jul-2017 2327.8975
19-Jul-2017 2294.405
20-Jul-2017 2877.3863
21-Jul-2017 2694.2913
22-Jul-2017 2838.81
23-Jul-2017 2762.6263
24-Jul-2017 2779.0438
25-Jul-2017 2591.2163
26-Jul-2017 2550.18
27-Jul-2017 2697.4725
28-Jul-2017 2805.1788
29-Jul-2017 2720.08
30-Jul-2017 2746.3263
31-Jul-2017 2873.8325
1-Aug-2017 2735.5875
2-Aug-2017 2723.58
3-Aug-2017 2814.3613
4-Aug-2017 2883.6813
5-Aug-2017 3301.7588
6-Aug-2017 3255.0025
7-Aug-2017 3431.9688
8-Aug-2017 3453.1625
9-Aug-2017 3377.5438
10-Aug-2017 3445.28
11-Aug-2017 3679.6075
12-Aug-2017 3917.6488
13-Aug-2017 4111.1963
14-Aug-2017 4382.7413
15-Aug-2017 4204.43
16-Aug-2017 4425.2963
17-Aug-2017 4316.34
18-Aug-2017 4159.4575
19-Aug-2017 4206.1313
)
disclaimer: {This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.}
time: #(
updated: "Aug 20, 2017 00:03:00 UTC"
updatedISO: "2017-08-20T00:03:00+00:00"
)
)
