["#" "Name" "Market Cap" "Price" "Circulating Supply" "Volume (24h)" "% Change …" "Price Graph (7d)" ""]
["1" "Bitcoin" "$55,106,705,134" "$3340.19" "16,498,075 BTC" "$1,479,400,0…" "-2.32%" "" ""]
["2" "Ethereum" "$28,113,726,001" "$299.44" "93,888,304 ETH" "$2,636,300,0…" "2.15%" "" ""]
["3" "Ripple" "$7,050,397,239" "$0.183873" "38,343,841,883 XRP *" "$132,483,000" "-2.01%" "" ""]
["4" "Bitcoin Cash" "$5,226,608,097" "$317.03" "16,486,163 BCH" "$168,273,000" "-6.03%" "" ""]
["5" "Litecoin" "$2,519,432,887" "$48.09" "52,387,557 LTC" "$319,358,000" "3.24%" "" ""]
["6" "NEM" "$2,469,456,000" "$0.274384" "8,999,999,999 XEM *" "$10,731,800" "-5.03%" "" ""]
["7" "IOTA" "$1,514,582,728" "$0.544906" "2,779,530,283 MIOTA *" "$16,741,600" "2.83%" "" ""]
["8" "Dash" "$1,502,060,272" "$200.75" "7,482,057 DASH" "$36,195,600" "1.08%" "" ""]
["9" "Ethereum …" "$1,461,935,079" "$15.49" "94,374,408 ETC" "$108,344,000" "-0.30%" "" ""]
["10" "NEO" "$967,545,000" "$19.35" "50,000,000 NEO *" "$90,254,500" "6.16%" "" ""]
["11" "Monero" "$760,068,114" "$50.97" "14,910,664 XMR" "$11,550,600" "-1.23%" "" ""]
["12" "Stratis" "$757,666,807" "$7.69" "98,496,655 STRAT *" "$15,445,000" "-3.42%" "" ""]
["13" "Qtum" "$735,328,800" "$12.46" "59,000,000 QTUM *" "$50,753,700" "8.79%" "" ""]
["14" "BitConnect" "$549,217,068" "$85.79" "6,401,512 BCC" "$6,587,500" "-0.93%" "" ""]
["15" "Waves" "$516,427,000" "$5.16" "100,000,000 WAVES *" "$4,790,260" "-4.90%" "" ""]
["16" "EOS" "$498,566,482" "$1.83" "273,130,243 EOS *" "$38,849,900" "-1.48%" "" ""]
["17" "Zcash" "$472,965,273" "$245.65" "1,925,394 ZEC" "$45,272,200" "6.50%" "" ""]
["18" "BitShares" "$397,497,456" "$0.153019" "2,597,700,000 BTS *" "$36,677,300" "-2.82%" "" ""]
["19" "OmiseGo" "$343,178,765" "$3.49" "98,312,024 OMG *" "$30,181,600" "-3.25%" "" ""]
["20" "Tether" "$319,038,245" "$0.998551" "319,501,202 USDT *" "$146,800,000" "-0.02%" "" ""]
["21" "Steem" "$315,166,538" "$1.32" "238,762,529 STEEM" "$1,534,730" "-0.37%" "" ""]
["22" "Veritaseum" "$268,052,360" "$133.32" "2,010,533 VERI *" "$960,889" "-6.37%" "" ""]
["23" "Siacoin" "$263,013,016" "$0.009248" "28,438,604,997 SC" "$6,828,430" "-1.16%" "" ""]
["24" "Bytecoin" "$261,637,325" "$0.001428" "183,223,264,787 BCN" "$1,620,480" "-1.99%" "" ""]
["25" "Iconomi" "$254,706,663" "$2.93" "86,900,350 ICN *" "$1,474,620" "-5.44%" "" ""]
["26" "Stellar Lumens" "$253,349,590" "$0.023015" "11,007,924,772 XLM *" "$9,564,000" "1.08%" "" ""]
["27" "Lisk" "$252,718,128" "$2.28" "110,706,785 LSK *" "$4,606,480" "2.44%" "" ""]
["28" "Golem" "$251,769,760" "$0.302233" "833,032,000 GNT *" "$5,658,480" "-0.88%" "" ""]
["29" "Augur" "$250,300,600" "$22.75" "11,000,000 REP *" "$4,366,620" "7.69%" "" ""]
["30" "Gnosis" "$241,634,585" "$218.75" "1,104,590 GNO *" "$1,647,250" "2.60%" "" ""]
["31" "Status" "$231,864,410" "$0.066810" "3,470,483,788 SNT *" "$19,590,500" "-6.24%" "" ""]
["32" "TenX" "$223,294,905" "$2.13" "104,661,310 PAY *" "$9,863,040" "1.78%" "" ""]
["33" "Populous" "$218,239,019" "$5.90" "37,004,027 PPT *" "$842,152" "0.78%" "" ""]
["34" "Dogecoin" "$215,843,769" "$0.001952" "110,575,701,575 DOGE" "$4,385,740" "-0.39%" "" ""]
["35" "Byteball" "$206,948,184" "$393.19" "526,327 GBYTE *" "$3,067,810" "-11.89%" "" ""]
["36" "GameCredits" "$198,267,386" "$3.11" "63,772,692 GAME" "$2,040,910" "-0.69%" "" ""]
["37" "Factom" "$178,436,995" "$20.39" "8,753,219 FCT *" "$2,677,750" "0.27%" "" ""]
["38" "MaidSafeCoin" "$168,923,786" "$0.373269" "452,552,412 MAID *" "$2,111,800" "2.40%" "" ""]
["39" "Basic Attenti..." "$164,385,000" "$0.164385" "1,000,000,000 BAT *" "$2,239,580" "-1.93%" "" ""]
["40" "Decred" "$163,084,286" "$29.62" "5,505,066 DCR" "$1,618,310" "-1.95%" "" ""]
["41" "DigixDAO" "$158,643,800" "$79.32" "2,000,000 DGD *" "$591,260" "-5.23%" "" ""]
["42" "DigiByte" "$156,455,743" "$0.017896" "8,742,253,657 DGB" "$5,213,880" "-2.84%" "" ""]
["43" "Nxt" "$145,847,005" "$0.145993" "998,999,983 NXT *" "$10,853,600" "1.31%" "" ""]
["44" "Ardor" "$142,740,045" "$0.142883" "998,999,495 ARDR *" "$1,785,720" "1.43%" "" ""]
["45" "MCAP" "$114,947,583" "$1.82" "63,145,175 MCAP *" "$342,900" "-1.86%" "" ""]
["46" "Komodo" "$114,534,795" "$1.13" "100,945,510 KMD" "$209,380" "6.52%" "" ""]
["47" "PIVX" "$110,174,504" "$2.04" "54,018,496 PIVX *" "$800,962" "1.60%" "" ""]
["48" "Bancor" "$104,469,880" "$2.56" "40,772,871 BNT *" "$2,513,930" "0.28%" "" ""]
["49" "MobileGo" "$99,956,417" "$1.04" "95,923,781 MGO *" "$550,499" "14.03%" "" ""]
["50" "Metal" "$91,190,827" "$4.72" "19,300,994 MTL *" "$499,097" "-3.54%" "" ""]
["51" "Lykke" "$91,111,418" "$0.348761" "261,243,137 LKK *" "$448,172" "-0.03%" "" ""]
["52" "SingularDTV" "$88,762,200" "$0.147937" "600,000,000 SNGLS *" "$565,848" "2.06%" "" ""]
["53" "Ark" "$84,310,673" "$0.871116" "96,784,668 ARK *" "$540,525" "7.37%" "" ""]
["54" "Metaverse ETP" "$82,006,360" "$3.63" "22,600,000 ETP" "$621,078" "-2.57%" "" ""]
["55" "ICO" "$81,023,000" "$0.810230" "100,000,000 ICO *" "$11,603,800" "-8.11%" "" ""]
["56" "FirstBlood" "$79,762,646" "$0.932260" "85,558,371 1ST *" "$8,934,720" "-4.66%" "" ""]
["57" "Aragon" "$77,542,579" "$2.31" "33,605,167 ANT *" "$753,373" "9.07%" "" ""]
["58" "FunFair" "$75,243,881" "$0.019598" "3,839,463,249 FUN *" "$569,031" "2.38%" "" ""]
["59" "Civic" "$72,483,240" "$0.213186" "340,000,000 CVC *" "$1,562,230" "3.48%" "" ""]
["60" "SysCoin" "$65,907,255" "$0.125131" "526,706,049 SYS" "$794,562" "-3.37%" "" ""]
["61" "Nexus" "$60,177,304" "$1.17" "51,567,139 NXS" "$155,988" "-5.22%" "" ""]
["62" "BitcoinDark" "$57,701,587" "$44.77" "1,288,862 BTCD" "$79,031" "-2.87%" "" ""]
["63" "Blocknet" "$55,057,378" "$13.90" "3,962,302 BLOCK *" "$413,508" "-5.85%" "" ""]
["64" "DECENT" "$54,684,595" "$1.07" "51,306,089 DCT *" "$822,148" "-1.21%" "" ""]
["65" "Elastic" "$54,363,635" "$0.648537" "83,825,033 XEL *" "$976,045" "-4.42%" "" ""]
["66" "NoLimitCoin" "$53,925,679" "$0.265399" "203,187,197 NLC2 *" "$299,738" "2.42%" "" ""]
["67" "Ubiq" "$53,526,440" "$1.42" "37,642,454 UBQ" "$233,062" "-2.42%" "" ""]
["68" "Bitdeal" "$53,508,300" "$0.178361" "300,000,000 BDL" "$448,919" "-12.67%" "" ""]
["69" "Wings" "$52,071,022" "$0.580448" "89,708,333 WINGS *" "$782,091" "-7.34%" "" ""]
["70" "Gas" "$48,766,091" "$16.66" "2,927,312 GAS *" "$7,166,800" "75.32%" "" ""]
["71" "Particl" "$47,830,079" "$6.24" "7,663,799 PART *" "$134,889" "-6.92%" "" ""]
["72" "Asch" "$47,413,650" "$0.632182" "75,000,000 XAS" "$2,887,630" "11.13%" "" ""]
["73" "Etheroll" "$46,675,757" "$6.67" "7,001,623 DICE *" "$531,124" "-0.67%" "" ""]
["74" "Peercoin" "$45,334,907" "$1.87" "24,257,795 PPC" "$436,673" "-0.99%" "" ""]
["75" "Edgeless" "$44,565,575" "$0.543176" "82,046,288 EDG *" "$353,028" "1.07%" "" ""]
["76" "Bytom" "$44,406,186" "$0.105203" "422,100,000 BTM *" "$5,591,720" "-5.35%" "" ""]
["77" "LEOcoin" "$44,294,039" "$0.505426" "87,637,042 LEO **" "$259,194" "-3.17%" "" ""]
["78" "Verge" "$42,551,206" "$0.003173" "13,409,472,280 XVG" "$896,167" "-8.64%" "" ""]
["79" "Melon" "$41,655,783" "$69.50" "599,400 MLN *" "$518,854" "5.93%" "" ""]
["80" "Emercoin" "$41,586,294" "$1.03" "40,513,891 EMC" "$409,089" "-4.28%" "" ""]
["81" "iExec RLC" "$39,985,626" "$0.505694" "79,070,793 RLC *" "$309,632" "-6.90%" "" ""]
["82" "Round" "$39,589,685" "$0.046576" "850,000,000 ROUND *" "$288,033" "-2.89%" "" ""]
["83" "Peerplays" "$38,505,532" "$10.33" "3,726,787 PPY *" "$1,092,270" "-13.74%" "" ""]
["84" "vSlice" "$37,069,127" "$1.11" "33,390,496 VSL *" "$152,863" "4.09%" "" ""]
["85" "Numeraire" "$36,180,618" "$28.88" "1,252,826 NMR *" "$1,158,940" "8.79%" "" ""]
["86" "Safe Exchange..." "$35,711,794" "$0.016630" "2,147,483,647 SAFEX *" "$1,299,450" "-16.39%" "" ""]
["87" "LBRY Credits" "$34,404,382" "$0.502074" "68,524,524 LBC" "$1,518,240" "1.88%" "" ""]
["88" "Storj" "$32,379,570" "$0.457356" "70,797,300 STORJ *" "$462,939" "13.91%" "" ""]
["89" "Stox" "$31,413,888" "$1.06" "29,600,000 STX *" "$757,868" "-3.13%" "" ""]
["90" "Counterparty" "$30,614,145" "$11.69" "2,618,138 XCP *" "$306,208" "10.94%" "" ""]
["91" "ReddCoin" "$30,546,450" "$0.001069" "28,584,148,299 RDD *" "$566,638" "-4.35%" "" ""]
["92" "Pillar" "$30,283,400" "$0.054078" "560,000,000 PLR *" "$59,586" "-5.23%" "" ""]
["93" "Viacoin" "$29,504,032" "$1.30" "22,782,685 VIA" "$535,111" "-8.87%" "" ""]
["94" "Namecoin" "$29,249,249" "$1.98" "14,736,400 NMC" "$76,418" "-2.16%" "" ""]
["95" "Gulden" "$28,097,145" "$0.080149" "350,563,145 NLG" "$133,644" "3.05%" "" ""]
["96" "Mysterium" "$27,932,720" "$1.44" "19,429,024 MYST *" "$406,236" "-4.55%" "" ""]
["97" "ION" "$27,875,671" "$1.81" "15,389,190 ION *" "$60,133" "1.03%" "" ""]
["98" "I/O Coin" "$27,365,819" "$1.67" "16,355,183 IOC *" "$264,065" "10.44%" "" ""]
["99" "adToken" "$27,032,340" "$0.045054" "600,000,000 ADT *" "$60,793" "13.92%" "" ""]
["100" "CloakCoin" "$27,019,598" "$5.32" "5,079,798 CLOAK *" "$239,002" "-5.91%" "" ""]
["" "" "" "" "" "" "" "" ""]
